Model,MDO3054
Firmware Version,1.30

Waveform Type,ANALOG,,,,,Waveform Type,ANALOG
Point Format,Y,,,,,Point Format,Y
Horizontal Units,s,,,,,Horizontal Units,s
Horizontal Scale,8e-07,,,,,Horizontal Scale,8e-07
Horizontal Delay,2.912e-06,,,,,Horizontal Delay,2.912e-06
Sample Interval,8e-10,,,,,Sample Interval,8e-10
Record Length,10000,,,,,Record Length,10000
Gating,0.0% to 100.0%,,,,,Gating,0.0% to 100.0%
Probe Attenuation,500,50,10,100,,Probe Attenuation,1
Vertical Units,V,V,A,A,,Vertical Units,Ws
Vertical Offset,0,0,0,0,,Vertical Offset,0
Vertical Scale,250,25,20,20,,Vertical Scale,0.0005
Vertical Position,1.98,1,-2,-3.92,,Vertical Position,-2.01364
,,,,,,,
,,,,,,,
,,,,,,,
Label,Vds,Vge,Isw,Il,,Label,Esw
TIME,CH1,CH2,CH3,CH4,,TIME,"MATH<INTG(CH1*CH3)>"
-1.0304e-06,255,-9,0.8,-0.8,,-1.0304e-06,2.83483e-06
-1.0296e-06,255,-10,0,0,,-1.0296e-06,2.83483e-06
-1.0288e-06,245,-10,0,0,,-1.0288e-06,2.83483e-06
-1.0280e-06,255,-10,0.8,-0.8,,-1.0280e-06,2.99108e-06
-1.0272e-06,255,-10,0.8,-0.8,,-1.0272e-06,3.14733e-06
-1.0264e-06,255,-9,0.8,0,,-1.0264e-06,3.30358e-06
-1.0256e-06,265,-10,0,-0.8,,-1.0256e-06,3.30358e-06
-1.0248e-06,255,-10,0,0,,-1.0248e-06,3.30358e-06
-1.0240e-06,255,-9,0,-0.8,,-1.0240e-06,3.30358e-06
-1.0232e-06,245,-10,0,0.8,,-1.0232e-06,3.30358e-06
-1.0224e-06,255,-9,0,-0.8,,-1.0224e-06,3.30358e-06
-1.0216e-06,255,-9,0.8,-0.8,,-1.0216e-06,3.45983e-06
-1.0208e-06,255,-9,0,0,,-1.0208e-06,3.45983e-06
-1.0200e-06,255,-9,0,0,,-1.0200e-06,3.45983e-06
-1.0192e-06,265,-9,0,0,,-1.0192e-06,3.45983e-06
-1.0184e-06,255,-10,0.8,-0.8,,-1.0184e-06,3.6942e-06
-1.0176e-06,265,-8,-0.8,0,,-1.0176e-06,3.45983e-06
-1.0168e-06,255,-9,0,-0.8,,-1.0168e-06,3.45983e-06
-1.0160e-06,255,-10,-0.8,0,,-1.0160e-06,3.30358e-06
-1.0152e-06,255,-8,0,-0.8,,-1.0152e-06,3.30358e-06
-1.0144e-06,255,-9,0.8,0.8,,-1.0144e-06,3.45983e-06
-1.0136e-06,245,-10,0.8,-0.8,,-1.0136e-06,3.61608e-06
-1.0128e-06,245,-10,0,0,,-1.0128e-06,3.61608e-06
-1.0120e-06,255,-8,0,0.8,,-1.0120e-06,3.61608e-06
-1.0112e-06,265,-10,-0.8,-0.8,,-1.0112e-06,3.45983e-06
-1.0104e-06,255,-10,0.8,0,,-1.0104e-06,3.61608e-06
-1.0096e-06,265,-10,0.8,0,,-1.0096e-06,3.85045e-06
-1.0088e-06,265,-9,0,-0.8,,-1.0088e-06,3.85045e-06
-1.0080e-06,255,-9,-0.8,0,,-1.0080e-06,3.61608e-06
-1.0072e-06,245,-9,-0.8,0,,-1.0072e-06,3.45983e-06
-1.0064e-06,255,-9,0,-0.8,,-1.0064e-06,3.45983e-06
