Model,MDO3054
Firmware Version,1.30

Waveform Type,ANALOG,,,,,Waveform Type,ANALOG
Point Format,Y,,,,,Point Format,Y
Horizontal Units,s,,,,,Horizontal Units,s
Horizontal Scale,8e-07,,,,,Horizontal Scale,8e-07
Horizontal Delay,2.964e-06,,,,,Horizontal Delay,2.964e-06
Sample Interval,8e-10,,,,,Sample Interval,8e-10
Record Length,10000,,,,,Record Length,10000
Gating,0.0% to 100.0%,,,,,Gating,0.0% to 100.0%
Probe Attenuation,500,50,10,100,,Probe Attenuation,1
Vertical Units,V,V,A,A,,Vertical Units,Ws
Vertical Offset,0,0,0,0,,Vertical Offset,0
Vertical Scale,500,25,20,20,,Vertical Scale,0.001
Vertical Position,1.98,0.4,-2,-3.92,,Vertical Position,-1.78835
,,,,,,,
,,,,,,,
,,,,,,,
Label,Vds,Vge,Isw,Il,,Label,Esw
TIME,CH1,CH2,CH3,CH4,,TIME,"MATH<INTG(CH1*CH3)>"
-9.7840e-07,390,-9,0.8,0,,-9.7840e-07,5.852e-06
-9.7760e-07,370,-10,0.8,0.8,,-9.7760e-07,6.1645e-06
-9.7680e-07,410,-8,0,-0.8,,-9.7680e-07,6.1645e-06
-9.7600e-07,410,-9,0.8,0,,-9.7600e-07,6.32075e-06
-9.7520e-07,390,-10,0,0.8,,-9.7520e-07,6.32075e-06
-9.7440e-07,390,-9,0,0,,-9.7440e-07,6.32075e-06
-9.7360e-07,370,-9,0,-0.8,,-9.7360e-07,6.32075e-06
-9.7280e-07,390,-10,0.8,0,,-9.7280e-07,6.63325e-06
-9.7200e-07,390,-9,0,-0.8,,-9.7200e-07,6.63325e-06
-9.7120e-07,390,-8,0,0,,-9.7120e-07,6.63325e-06
-9.7040e-07,390,-9,0.8,-0.8,,-9.7040e-07,6.94575e-06
-9.6960e-07,410,-10,0.8,-0.8,,-9.6960e-07,7.102e-06
-9.6880e-07,390,-8,0.8,0,,-9.6880e-07,7.4145e-06
-9.6800e-07,390,-9,0,0,,-9.6800e-07,7.4145e-06
-9.6720e-07,390,-9,0,0,,-9.6720e-07,7.4145e-06
-9.6640e-07,390,-10,0,-0.8,,-9.6640e-07,7.4145e-06
-9.6560e-07,390,-9,0.8,-0.8,,-9.6560e-07,7.57075e-06
-9.6480e-07,370,-9,0.8,0,,-9.6480e-07,7.88325e-06
-9.6400e-07,390,-10,0.8,0,,-9.6400e-07,8.0395e-06
-9.6320e-07,370,-9,0.8,0,,-9.6320e-07,8.352e-06
-9.6240e-07,410,-9,0.8,0,,-9.6240e-07,8.6645e-06
-9.6160e-07,390,-9,-0.8,0,,-9.6160e-07,8.352e-06
-9.6080e-07,390,-9,0.8,0,,-9.6080e-07,8.6645e-06
-9.6000e-07,370,-10,0,-0.8,,-9.6000e-07,8.6645e-06
-9.5920e-07,390,-9,0.8,0,,-9.5920e-07,8.82075e-06
-9.5840e-07,390,-9,0.8,0,,-9.5840e-07,9.13325e-06
-9.5760e-07,390,-9,0,0,,-9.5760e-07,9.13325e-06
-9.5680e-07,390,-10,0,0,,-9.5680e-07,9.13325e-06
-9.5600e-07,390,-9,0.8,0,,-9.5600e-07,9.2895e-06
-9.5520e-07,370,-9,0,-0.8,,-9.5520e-07,9.2895e-06
-9.5440e-07,410,-9,0.8,-0.8,,-9.5440e-07,9.602e-06
-9.5360e-07,390,-8,0,0.8,,-9.5360e-07,9.602e-06
-9.5280e-07,370,-9,0.8,-0.8,,-9.5280e-07,9.9145e-06
-9.5200e-07,390,-9,0,0.8,,-9.5200e-07,9.9145e-06
-9.5120e-07,390,-9,0,0,,-9.5120e-07,9.9145e-06
-9.5040e-07,390,-10,0,-0.8,,-9.5040e-07,9.9145e-06
-9.4960e-07,390,-10,0,0,,-9.4960e-07,9.9145e-06
-9.4880e-07,390,-9,0,0,,-9.4880e-07,9.9145e-06
-9.4800e-07,390,-9,0.8,-0.8,,-9.4800e-07,1.00707e-05
